title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
The Character of John Dryden,,,,,,"A curiously relational work in which Lubbock declares Dryden to be a highly elusive subject: "" look for him and he is not there : the lines of the human figure dissolve, as you turn, into those of the literature of his age"" (5). As a result of this elusiveness, Lubbock's approach is to characterize Dryden as a man particularly malleable to the fashions of his day and eager to please his audience. Being apparently unable to distinguish Dryden personally from what is known about his historical period, Lubbock decides that Dryden must be an embodiment of his time.",Alan Lubbock,,,Biography,English,,1925
Reminiscences of a Student's Life,,,,,,"Jane Harrison was a well-known classical scholar, and her memoir is something of a who's who of English cultural and intellectual life. Her book could be seen as a stark contrast to Henry Green's autobiography, which excludes names. Harrison mentions the famous people she met at Cambridge and in her European travels wherever possible. The volume contains several illustration plates. Harrison also describes her childhood in Yorkshire, which she compares with Russia because of the ""present cult for Russia and things Russian,"" and details her time at Cheltenham Ladies College, which she roundly dismisses as a useless Victorian education in which one was, she suggests in a figurative turn, taught to hem exquisitely but not to produce a single garment.",Jane Ellen Harrison,,,Autobiography,English,,1925
Further Contributions to the Theory and Technique of Psychoanalysis,,,,,,Psycho-Analytic Library,Sandor Ferenczi,,,Psychoanalysis,English,,1926
Victorian Photographs of Famous Men & Fair Women,,,,,,"A book of Cameron's well-known black and white portraits, this volume contains two prefaces, a biographical sketch by Virginia Woolf and an assessment of the photographs as art by Roger Fry. A fascinating exercise in portraiture and of great interest for the tongue-in-cheek depiction of Cameron by Woolf in the preface.",Julia Margaret Cameron,,,Art and Art Criticism,English,,1926
The Victory of Reason A Pamphlet on Arbitration,,6281.jpg,"front cover of ""The Victory of Reason A Pamphlet on Arbitration""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is a clear and thorough history of arbitration with an explanation of the current state of conciliation with some generally pacificist overtones and a desire to make practical the implementation of peaceful arbitration as opposed to armed combat for settling international disputes. The pamphlet provides a very clear, thoughtful, interesting and prescient inter-war reaction to conflict. Appendices include a list of books for further reading, Article 10 of the Geneva Protocol, 1924 and Article 36 of the Statues of the Permanent Court for International Justice.",W. Arnold-Forster,,,Politics,English,,1926
The People of Ararat,,6244.jpg,"dust jacket of ""The People of Ararat""",E.J. Pratt Library,Penguin Random House Archive and Library,"A publication supported by the Armenian Committee of the Society of Friends, this is a history of the Armenian people. The author explains its existence by declaring that ""The justification for this book is twofold ' it lies both in the fact that the literature once available for Englishmen about the noble and tragical history of the Armenian people has gone out of print, and also in the peremptory need to reawaken the reluctant national consciousness once more to our responsibility on the matter, before it is too late to rescue the perishing remnant in Syria and Greece."" (3)",Joseph Burtt,,,Travel Writing,English,,1926
The End of Laissez-Faire,,6251.jpg,"dust jacket of ""The End of Laissez-Faire""",E.J. Pratt Library,Penguin Random House Archive and Library,"A history of the economic concept of laissez-faire as well as an expression of Keynes's own views on the current state of economic policy, this pamphlet was first delivered as a lecture at Oxford and subsequently published.",John Maynard Keynes,,,Economics,English,,1926
The British Public and the General Strike,,,,,,"Kingsley Martin was better known as a biographer of Thomas Paine and Lord Palmerston, but this book describes the state of public opinion during the General Strike using an anthropological framework.",Kingsley Martin ,,,Politics,English,,1926
Chorus of the Newly Dead,,ChorusOfTheNewlyDead_001.tif,"front cover of ""Chorus of the Newly Dead"" ",Bruce Peel Library,Penguin Random House Archive and Library,"Muir's second volume of poetry, Chorus of the Newly Dead is part verse, part dramatic dialogue.",Edwin Muir,,,Poetry,English,,1926
Time and Chance,,6349.jpg,"front cover of ""Time and Chance""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is a collection of miscellaneous poems, the most endearing of which is a love poem called ""Adventure,"" which exhibits a typically modernist emphasis on the present moment: ""For us there'll be no past and no hereafter ' / But morning, and a bird.""",Mary Stella Edwards,,,Poetry,English,,1926
Martha Wish-You-Ill,,6329.jpg,"front cover of ""Martha Wish-You-Ill""",E.J. Pratt Library,Penguin Random House Archive and Library,Rhyming poems in a collection. The title poem is about a lady whose own misfortunes cause her to curse other people. Amusingly the title of this book was misprinted in the Complete Catalogue list of Books Out of Print as 'Martha Wish You Well.',Ruth Manning-Sanders,,,Poetry,English,,1926
Chosen Poems,,,,,,"A selection of poems by a former contributor to The Yellow Book and a member of the decadent circle of Aubrey Beardsley and Wilde, this represents a late career collection. The volume's preface was written by the well-known novelist G. K. Chesterton.",Douglas Ainslie,,,Poetry,English,,1926
The Close Chaplet,,6348.jpg,"front cover of ""The Close Chaplet""",E.J. Pratt Library,Penguin Random House Archive and Library,"Riding's first published work, this book of poems gained a place at the Hogarth Press with the help of Robert Graves, with whom Riding was having an affair that eventually ended her marriage.",Laura Riding Gottschalk,,,Poetry,English,,1926
The Deluge and Other Poems,,TheDelugeAndOtherPoems_001.tif,"front cover of ""The Deluge and Other Poems"" ",Bruce Peel Library ,Penguin Random House Archive and Library,One of several of Trevelyans collections for the Press.,R. C. Trevelyan,,,Poetry,English,,1926
April Morning,,AprilMorning_001.tif,"front cover of ""April Morning"" ",Bruce Peel Library ,Penguin Random House Archive and Library,,Stanley Snaith,,,Poetry,English,,1926
The Question Mark,,,,,,"This is a tongue-in-cheek socialist utopia, written for a time that the author deems perfectly suited to utopias and in desperate need of a new one. The book is written as a first-person meta-narrative: "" I called for a hero --- one who should be typical of the England of 1925 ' and there appeared gradually developing out of obscurity a very unheroic little figure, Guy Martin, shoving and dodging his way along the Strand on a rainy autumn evening. He comes in an aura of distress and rebellion, but rebellion shot with futility -- a personality as little glamorous as one could well imagine.""",Muriel Jaeger,,,Novel,English,,1926
The River Flows,,,,,,"A semi-autobiographical novel by the literary critic who also wrote introductions to The Art of Dying and Adriatica for the Press, this book preceded Lucas's later foray into historical fiction. A successful seller for the Press, it went into a second impression in the same year.",F. L. Lucas,,,Novel,English,,1926
Passenger to Teheran,,,,,,"A characteristically funny and charismatic account of Sackville-West's journey to Persia through Egypt and back through Russia and Poland. The book is one of the most read of Sackville-West's works now, partly because of its historical value and partly because of its readability.",Vita Sackville-West,,,Novel,English,,1926
The Education of a Young Man in Twelve Lessons,,6314.jpg,"dust jacket of ""The Education of a Young Man in Twelve Lessons""",E.J. Pratt Library,Penguin Random House Archive and Library,Her third novel. Reviewed somewhat unfavourably in the Spectator.,Marius Lyle,,,Novel,English,,1926
Transition,,6450.jpg,"dust jacket of ""Transition""",E.J. Pratt Library,Penguin Random House Archive and Library,"A meditation on the difficulty of writing criticism of current literature, of "" the things of the present: the books which are being written, the books which might be written, the tendencies which have not still found a decisive direction"" (7). This type of transitional material is what Muir considers the most crucial for critics to address, despite its challenges. Might be fruitfully compared to Virginia Woolf's 'How It Strikes a Contemporary.'",Edwin Muir,,,Literary Criticism,English,,1926
Composition as Explanation,,6358.jpg,"Vanessa Bell, dust jacket of ""Composition as Explanation""",E.J. Pratt Library,Henrietta Garnett,Originally delievered as a lecture to the Cambridge Literary Club at at Oxford University. This is the only publication of Stein's that the Press undertook.,Gertrude Stein,,,Literary Criticism,English,,1926
The Poet's Eye,,,,,,"Woolf refers to Lee as a woman who has begun to publish work in traditionally male-dominated fields in ""A Room of One's Own""",Vernon Lee,,,Literary Criticism,English,,1926
Another Future of Poetry,,,,,,Hogarth Essay,Robert Graves,,,Literary Criticism,English,,1926
Impenetrability or the Proper Habit of English,,,,,,Hogarth Essay,Robert Graves,,,Literary Criticism,English,,1926
Notes on Law and Order,,NotesOnLawAndOrder_001.tif,"Vanessa Bell, front cover of ""Notes on Law and Order"" ",Bruce Peel Library,Henrietta Garnett,Hogarth Essay,John A. Hobson,,,Philosophy,English,,1926
How The League of Nations Works Told for Young People,,6267.jpg,"front cover of ""How the League of Nations Works Told for Young People""",E.J. Pratt Library,Penguin Random House Archive and Library,"The second of the two books describing the League of Nations for an audience of schoolchildren, this volume describes the structure of the institution while the first volume described its formation.",Kathleen Innes,,,Children's Literature,English,,1926
Rochester A Conversation between Sir George Etherege and Mr. Fitzgames,,6342.jpg,"Vanessa Bell, front cover of ""Rochester A Conversation between Sir George Etherege and Mr. Fitzgames""",E.J. Pratt Library,Henrietta Garnett,An imagined dialogue between two of Rochester's contemporaries that attempts to describe Rochester's antics and portray his character as it might have been seen by others. This is a kind of more inventive and less archival version of the series of biographies by the subject's contemporaries.,Bonamy Dobree,,,Biography,English,,1926
Castles in the Air The Story of My Singing Days,,6324.jpg,"front cover of ""Castles in the Air The Story of My Singing Days""",E.J. Pratt Library,Penguin Random House,"A collection of letters, extracts from diaries, photographs and prose reminiscences, Tree's book provides an account of the time in her life when she made the transition from actress to singer. Although it isn't a terribly experimental autobiography, the fragmentary form and the depiction of life in the performing arts, as well as Tree's often pompous but nearly always entertaining style make it a valuable book among the Press's autobiographies. Tree writes that her memoir was written in part because she was ""not likely to be famous enough for posterity"" and felt that she might as well print her letters and diaries partly for her ""own edification"" and partly for ""the amusement of others.""",Viola Tree,,,Autobiography,English,,1926
Art and Commerce,,6274.jpg,"Vanessa Bell, dust jacket of ""Art and Commerce""",E.J. Pratt Library,Henrietta Garnett,Hogarth Essay,Roger Fry,,,Art and Art Criticism,English,,1926
Catchwords and Claptrap,,,,,,Hogarth Essay,Rose Macaulay,,,Literary Criticism,English,,1926
Disarmament,,,,,,"Professor Baker Noel was a well-known campaigner for disarmament who eventually won the Nobel Peace Prize in 1959. He was heavily involved in the establishment of the League of Nations, and predictably this book sold well and went into a second impression in the same year.",Philip J. Noel Baker,,,Politics,English,,1926
The Structure of Wuthering Heights by C. P. S,,,,,,The first in-depth work of literary criticism on the novel.,C. P. Sanger,,,Literary Criticism,English,,1926
The Revival of Aesthetics,,TheRevivalOfAesthetics_001.tif,"Vanessa Bell, front cover of ""The Revival of Aesthetics"" ",Bruce Peel Library,Henrietta Garnett,"First published in the Burlington Magazine, Waley's argument is that repetition in literature offers a way of accessing the subconscious.",Hubert Waley,,,Art and Art Criticism,English,,1926
I Speak of Africa,,ISpeakOfAfrica_001.tif,"cover of ""I Speak of Africa"" ",Bruce Peel Library,Penguin Random House,"A collection of stories following his first novel with the Press (see Turbott Wolfe), the book again deals with the racial dynamics of South Africa, and controversially suggests interracial sexual relationships as a way of reconciling differences between people.",William Plomer,,,Short Fiction,English,,1927
Kew Gardens,,4600.jpg,"Vanessa Bell, dust jacket of ""Kew Gardens""",E.J. Pratt Library,Henrietta Garnett,"Often praised as one of the quintessential Hogarth Press publications, Woolf's Short Fiction about a walk through Kew Gardens is here adorned with Vanessa Bell's woodcuts. The combination of the art and the writing was thought beautiful and innovative and received a glowing review in the TLS, marking one of the most important successes of the Press's early days.",Virginia Woolf,,,Short Fiction,English,,1927
The Empire Builder,,TheEmpireBuilder_001.tif,"Vanessa Bell, front cover of ""The Empire Builder"" ",Bruce Peel Library,Henrietta Garnett,"A Fabian and Member of the Labour Party, Lord Olivier wrote this book about his experiences working in the British civil service.",Lord Olivier,,,Short Fiction,English,,1927
The Selected Papers of Karl Abraham,,,,,,Psycho-Analytic Library,Karl Abraham,,,Psychoanalysis,English,,1927
The State of Religious Belief,,6445.jpg,"dust jacket of ""The State of Religious Belief""",E.J. Pratt Library,Penguin Random House Archive and Library,The introduction to the book declares that 'in the summer of 1926 The Nation and Athenaeum conducted an inquiry into the religious belief of its readers by means of a questionnaire.' This book presents and analyses the results of the survey.,R. B. Braithwaite,,,Politics,English,,1927
Justice Among Nations,,6264.jpg,"dust jacket of ""Justice Among Nations""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is the first Merttens Lecture on War and Peace. The Merttens Peace Lectures were founded in 1926 by Frederick Merttens of Rugby. They are to be delivered annually and circulated in book form.' Alexander summarizes his argument as follows: 'The thesis of my lecture is this: Much of the evil we suffer in the world to-day arises from a false conception of the nature of justice. I want to consider, then, what justice really is; what its value for us in the modern world; and, especially, how it can be applied to our international problems.' (7)",Horace Alexander,,,Politics,English,,1927
Early Socialist Days,,6261.jpg,"front cover of ""Early Socialist Days""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection of autobiographical reflections on the beginnings of the socialist movement in Britain: ""These stray reminiscences of the days when the modern British Labour and Socialist movement was represented by a tiny band of enthusiasts with more faith than knowledge and wisdom were contributed to The Labour Magazine under the title of Ushering in the Dawn.""",William Stephen Sanders,,,Autobiography,English,,1927
Coal A Challenge to the National Conscience,,6402.jpg,"dust jacket of ""Coal A Challenge to the National Conscience""",E.J. Pratt Library,Penguin Random House Archive and Library,"Following the General Strike in 1926, the Press published several works addressing the situation with the coal mining industry. This volume attempts a direct survey of the state of the industry.",,,,Politics,English,,1927
Voltaire A Biographical Poem,,6351.jpg,"front cover of ""Voltaire A Biographical Poem""",E.J. Pratt Library,Penguin Random House Archive and Library,"A fanciful and imaginative poem about Voltaire, combining fact and fiction. The book initially contained the author's married name, ""Laura Riding Gottschalk"" but she got a divorce when the book was in press, and since the book was hand- printed it was difficult to change her name and Leonard decided to simply cross ""Gottschalk"" out, which did not please her.",Laura Riding,,,Poetry,English,,1927
Notes for Poems,,,,,,Plomer's first collection of poems. Settings include South Africa and Japan.,William Plomer,,,Poetry,English,,1927
The Sisters and Other Tales in Verse,,6317.jpg,"front cover of ""The Sisters and Other Tales in Verse""",E.J. Pratt Library,Penguin Random House Archive and Library,,F. O. Mann,,,Poetry,English,,1927
Withering of the Fig Leaf,,WitheringOfTheFigLeaf_001.tif,"front cover of ""Withering of the Fig Leaf"" ",Bruce Peel Library ,Penguin Random House Archive and Library,,Geoffrey Taylor,,,Poetry,English,,1927
The Marionette,,,,,,This is Muir's first novel and it has a complicated plot structure that involves a father and his son and their relationship to a group of marionettes. The protagonist (the son) is a strange and easily confused person and there is a significant attention to his characterization.,Edwin Muir,,,Novel,English,,1927
To the Lighthouse,,,,,,,Virginia Woolf,,,Novel,English,,1927
Mr. Balcony,,6298.jpg,"dust jacket of ""Mr. Balcony""",E.J. Pratt Library,Penguin Random House Archive and Library,"Along with Streamers Waving, one of Kitchin's early novels before he began writing mostly detective fiction.",C. H. B. Kitchin,,,Novel,English,,1927
The Man with Six Senses,,6330.jpg,"front cover of ""The Man with Six Senses""",E.J. Pratt Library,Penguin Random House Archive and Library,A science fiction work about extra-sensory perception.,Muriel Jaeger,,,Novel,English,,1927
Books and the Public,,,,,,A collection of writings from the N&A on the issue of the contemporary book trade.,,,,Literary Criticism,English,,1927
The Development of English Biography,,6437.jpg,"dust jacket of ""The Development of English Biography""",E.J. Pratt Library,Penguin Random House Archive and Library,"Nicolson's important history of the genre traces not only biography but also autobiography through literary history beginning with Classical literature. While the whole book is valuable for the study of the genre, the last chapter on contemporary forms, in which Nicolson distinguishes ""pure"" or truthful biography from ""impure"" modern hybrid forms is of particular theoretical interest.",Harold Nicolson,,,Literary Criticism,English,,1927
Adventure and Other Papers,,6288.jpg,"dust jacket of ""Adventure and Other Papers""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection of three lectures by renowned pacifist, Nansen, including his Nobel Prize acceptance speech of 1922.",Fridtjof Nansen,,,Politics,English,,1927
Democracy Under Revision,,democracyrevision_002_front.jpg,"dust jacket of ""Democracy Under Revision""",Bruce Peel Library,Penguin Random House Archive and Library,"This is a publication of a lecture Wells delivered at the Sorbonne in 1927 and it subsequently reprinted in his collection of musings on democracy in The Way the World is Going. In the lecture, Wells argues that the phase of democracy as ""synthesis"" is on its way, after the end of the phase of democracy as ""release.""",H. G. Wells,,,Politics,English,,1927
The China of To-Day,,chinatoday_002_front.jpg,"dust jacket of ""The China of To-Day""",Bruce Peel Library,Penguin Random House Archive and Library,A socio-political account of contemporary China.,Stephen King-Hall,,,Politics,English,,1927
Mr. Baldwin Explains and other Dream Interviews,,6419.jpg,"Quentin Bell, dust jacket of ""Mr. Baldwin Explains and other Dream Interviews""",E.J. Pratt Library,"Davis & Langdale Company, Inc. and Society of Authors","A book based on a dream the author had about interviewing politicians of the day in order to have social policies explained. The short excerpts each take a different politician, and provide a series of imaginary questions and answers. A sort of experimental genre perhaps best described as faux or mock journalism.",Peter Ibbetson,,,Drama,English,,1927
"Essays on Literature, History, Politics etc.",,6335.jpg,"dust jacket of ""Essays on Literature, History, Politics etc.""",E.J. Pratt Library,Penguin Random House Archive and Library,"This collection, comparable in structure and style to Virginia Woolf's The Common Reader, collects Leonard Woolf's occasional essays. There are a number of biographical essays about Ben Jonson and others similar to Virginia's biographical essays in the CR.",Leonard Woolf,,,Politics,English,,1927
Hunting the Highbrow,,HuntingTheHighbrow_001.tif,"Vanessa Bell, front cover of ""Hunting the Highbrow"" ",Bruce Peel Library,Henrietta Garnett,"An important intervention into the ""brows"" debate. In it Leonard comes across as promoting aesthetic values that he sees as possibly incompatible with a larger public, though he wishes that they weren't: ""the highbrow is genuinely attracted by elements in literature . . . which may conveniently be called aesthetic, and which are not primarily interesting or attractive to the great public.""",Leonard Woolf,,,Literary Criticism,English,,1927
The League of Nations and the World's Workers An Introduction to the Work of the International Labour Organisation,,6440.jpg,"front cover of ""The League of Nations and the World's Workers An Introduction to the Work fo the International Labour Organisation""",E.J. Pratt Library,Penguin Random House Archive and Library,"A follow-up to Innes' previous books about the League, this book is a kind of revised and expanded edition of the 1925 publication with a similar title.",Kathleen Innes,,,Politics,English,,1927
Posterity,,6328.jpg,"Vanessa Bell, front cover of ""Posterity""",E.J. Pratt Library,Henrietta Garnett,Hogarth Essay,Stephen King-Hall,,,Politics,English,,1927
Meleager,,Meleager_001.tif,"front cover of ""Meleager"" ",Bruce Peel Library,Penguin Random House Archive and Library,"This is a verse retelling of the Homeric myth of Meleager, who is fated only to live as long as a brand burning in a hearth at his birth.",R. C. Trevelyan,,,Drama,English,,1927
Cheiron,,Cheiron_001.tif,"front cover of ""Cheiron"" ",Bruce Peel Library,Penguin Random House Archive and Library,"Like Meleager, a verse retelling of the Greek mythological story, this time of the centaur and healer, Cheiron.",R. C. Trevelyan,,,Drama,English,,1927
The Judgment of Francois Villon A Pageant-Episode Play in Five Acts,,judgement_002_front.jpg,"dust jacket of ""The Judgment of Francois Villon A Pageant-Episode Play in Five Acts""",Bruce Peel Library,Penguin Random House Archive and Library,"A biographical play about the life of the French poet Francois Villon, Franssen argues that this was part of a larger revival of interest in the poet during this period and was one of a number of biographies and critical and creative works published about this figure at roughly this time.",Herbert Edward Palmer,,,Drama,English,,1927
Studies in Shakespeare,,6434.jpg,"dust jacket of ""Studies in Shakespeare""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Essay,Allardyce Nicoll,,,Literary Criticism,English,,1927
The Apology of Arthur Rimbaud,,,,,,Hogarth Essay,Edward Sackville-West,,,Literary Criticism,English,,1927
Tragedy in Relation to Aristotle's Poetics,,,,,,Hogarth Essay,F. L. Lucas,,,Literary Criticism,English,,1927
A Lecture on Lectures,,6394.jpg,"dust jacket of ""A Lecture on Lectures""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Essay,Arthur Quiller-Couch,,,Literary Criticism,English,,1927
The Anatomy of African Misery,,,,,,A second account of African slavery by Lord Olivier.,Lord Olivier,,,Politics,English,,1927
The Prospects of Literature,,,,,,Hogarth Essay,Logan Pearsall Smith,,,Literary Criticism,English,,1927
Cezanne: A Study of His Develoment,,,,,,Roger Fry's discussion of Cezanne's career as an artist and of the development of his style. This book is a work of art criticism rather than a discussion of Cezanne's personal development. The book is illustrated with plates of Cezanne's works and the cover has a still life done by Roger Fry himself that imitates Cezanne's style.,Roger Fry,,,Art and Art Criticism,English,,1927
Welshman's Way,,,,,,Novel by the Welsh writer.,Charles Davies,,,History,English,,1927
Contemporary Music,,ContemporaryMusic_001.tif,"Vanessa Bell, front cover of ""Contemporary Music"" ",Bruce Peel Library,Henrietta Garnett,"This, the only Hogarth Essay on music and one of very few publications in this area by the Press, is Hull's assessment of the state of current music in the 1920s.",Robert H. Hull,,,Music,English,,1927
Fugitive Pieces,,6410.jpg,"dust jacket of ""Fugitive Pieces""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection of essays and Short Fiction, the book is divided into three sections: Shuttlecocks, Weathercocks, and a final Story. The book's title reflects the generic indeterminacy of these short pieces, which range from essays about the ballet, omnibuses and London fashion, to stories about ladies having tea. The pieces, essays and stories alike, share a concern with women's aesthetic sensibilities and gender distinctions more broadly. The extent to which any of this material may or may not be autobiographical is authentically unclear. There is also a preoccupation in many of the pieces with ""a sense of interlude"" and her concept of selfhood in the ""exquisite moment"" might fruitfully be compared with Woolf's ""moments of being"" (11).",Mary Hutchinson,,,Music,English,,1927
Disarmament and the Coolidge Conference,,6403.jpg,"dust jacket of ""Disarmament and the Coolidge Conference""",E.J. Pratt Library,Penguin Random House Archive and Library,Hogarth Essay,Philip J. Noel Baker,,,Politics,English,,1927
The Nature of Beauty in Art and Literature,,6275.jpg,"Vanessa Bell, front cover of ""The Nature of Beauty in Art and Literature""",E.J. Pratt Library,Henrietta Garnett,Essay by the French aesthetician with whom Virginia Woolf had significance correspondence. Mauron also translated Woolf's works into French.,Charles Mauron,,,Art and Art Criticism,English,,1927
The Ego and the Id,,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1927
The Triumphant Machine,,triumphantmachine_002_front.jpg,"dust jacket of ""The Triumphant Machine""",Bruce Peel Library,Penguin Random House Archive and Library,"An autobiographical account of what Fox calls ""machine civilization,"" or life as an industrial worker, The Triumphant Machine details the difficulty of factory working conditions and describes the effect on humanity. The introduction by H. N. Brailsford authenticates the account by suggesting that it is a book written ""from the standpoint of a man who spent many years of his life as apprentice and journeyman in an engineering workshop, Mr. Fox attempts in this little book to discuss what is, perhaps, a fundamental problem of our civilization."" Fox himself suggests that the working classes are denied beauty and denied childhoods, and his own conclusion is that if this is the machine age, the working classes themselves are the machines since ""the demands of personality are hidden by the demand for output."" The other two autobiographies published by the Press have similar focuses. Fox was also a well-known labour historian and historian of Irish politics.",R. M. Fox,,,Politics,English,,1928
Index Psychoanalyticus 1893-1926 Authors' Index of Papers on Psychoanalysis,,6467.jpg,"dust jacket of ""Index Psychoanalyticus 1893-1926 Authors' Index of Papers on Psychoanalysis""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,John Rickman,,,Psychoanalysis,English,,1928
The Future of an Illusion,,,,,,Psycho-Analytic Library,Sigmund Freud,,,Psychoanalysis,English,,1928
War and Human Values,,6280.jpg,"front cover of ""War and Human Values""",E.J. Pratt Library,Penguin Random House Archive and Library,Merttens Lecture,Francis E. Pollard,,,Politics,English,,1928
Words and Poetry,,wordspoetry_002_front.jpg,"Edward McKnight Kauffer, dust jacket of ""Words and Poetry""",Bruce Peel Library,Simon Rendall,Rylands was a Shakespeare scholar at King's College Cambridge and Words and Poetry was his dissertation.,George Rylands,,,Poetry,English,,1928
Matrix,,Matrix_001.tif,"Vanessa Bell, front cover of ""Matrix"" ",Bruce Peel Library,Henrietta Garnett,Hogarth Living Poets Series,Dorothy Wellesley,,,Poetry,English,,1928
It Was Not Jones,,,,,,Hogarth Living Poets,R. Fitzurse,,,Poetry,English,,1928
A Flying Scroll,,AFlyingScroll_001.tif,"front cover of ""A Flying Scroll"" ",Bruce Peel Library,Penguin Random House Archive and Library,,Stanley Snaith,,,Poetry,English,,1928
Different Days,,,,,,Hogarth Living Poets,Frances Cornford,,,Poetry,English,,1928
Orlando A Biography,,,,,,,Virginia Woolf,,,Novel,English,,1928
The Peacemakers,,6336.jpg,"dust jacket of ""The Peacemakers""",E.J. Pratt Library,Penguin Random House Archive and Library,"A novel that thematizes many of the concerns of the non-fiction publications about the League of Nations and the question of disarmament, this book was written by Alice Ritchie who was a traveller for the Press and, Leonard Woolf claims in his autobiography, the first female book traveller in England. She had previously worked for the League of Nations Secretariat, and her novel is based on those experiences.",Alice Ritchie,,,Novel,English,,1928
Delius,,Delius_001.tif,"Vanessa Bell, front cover of ""Delius"" ",Bruce Peel Library,Henrietta Garnett,"A study of the works of Delius, this volume studiously avoids biography and biographical criticism (indeed, the first sentence is ""This is not a biography""). In his avoidance of biography, though, Hall suggests a traditional and somewhat opposite view of biography to that being produced by the other more experimental texts published by the Press when he argues that "" if the details relating to the biography of a contemporary composer are definite beyond discussion, the same cannot be said in respect to the critical attitude which one should adopt towards his work."" (5).",Robert H. Hull,,,Music,English,,1928
Ibsen and the Actress,,6345.jpg,"Vanessa Bell, dust jacket of ""Ibsen and the Actress""",E.J. Pratt Library,Henrietta Garnett,Hogarth Essay,Elizabeth Robins,,,Literary Criticism,English,,1928
The Structure of the Novel,,6283.jpg,"dust jacket of ""The Structure of the Novel""",E.J. Pratt Library,Penguin Random House Archive and Library,The Hogarth Lectures on Literature Series,Edwin Muir,,,Literary Criticism,English,,1928
Parnassus to Let,,,,,,Hogarth Essay,Eric Walter White,,,Literary Criticism,English,,1928
Lyrical Poetry from Blake to Hardy,,lyricalpoetry_002_front.jpg,"dust jacket of ""Lyrical Poetry from Blake to Hardy""",Bruce Peel Library,Penguin Random House Archive and Library,The Hogarth Lectures on Literature Series,H. J. C. Grierson,,,Literary Criticism,English,,1928
Phases of English Poetry,,englishpoetry_002_front.jpg,"dust jacket of ""Phases of English Poetry""",Bruce Peel Library,Penguin Random House Archive and Library,The Hogarth Lectures on Literature Series,Herbert Read,,,Literary Criticism,English,,1928
Leisured Women,,LeisuredWomen_001.tif,"Vanessa Bell, front cover of ""Leisured Women"" ",Bruce Peel Library,Henrietta Garnett,"A feminist critique of the pursuit of idleness and of the leisure classes, Viscountess Rhondda condemns young women for being lazy and argues that leisure produces superficiality and an unhealthy disdain for work. Lady Rhondda was the editor of Time and Tide.",Viscountess Rhondda,,,General Criticism,English,,1928
Twelve Days An account of a journey across the Bakhtiari Mountains in South-western Persia,y,12days_002_front.jpg,"dust jacket of ""Twelve Days""",Bruce Peel Library,Penguin Random House Archive and Library,"A richly illustrated travel volume containing several of Sackville-West's own photographs, this book describes her journey across what is now Iran.",Vita Sackville-West,,,Travel Writing,English,,1928
What is Wrong with the League of Nations?,,,,,,"Subtitled ""A constructive Criticism of the League of Nations in working, with certain practical suggestions,"" this book takes the current state of the League, supports its premise, and makes practical arguments about how it could be better implemented.",Edgar H. Brookes,,,Politics,English,,1928
The Origins of the League Covenant Documentary History of its Drafting,,6443.jpg,"dust jacket of ""The Origins of the League Covenant Documentary History of its Drafting""",E.J. Pratt Library,Penguin Random House Archive and Library,"A documentary companion to Kathleen Innes's explanations of the League of Nations's institutional structure, this book provides a history of the draft of the covenant that established the League.",Kathleen Innes,,,Politics,English,,1928
"Near East Educational Survey Report of a survey made during the months of April, May and June, 1927",,6421.jpg,"dust jacket of ""Near East Educational Survey Report of a survey made during the months of April, May and June, 1927""",E.J. Pratt Library,Penguin Random House Archive and Library,A discussion of education in the Near East and analysis of the results of the survey mentioned in the title.,Florence Wilson,,,Education,English,,1928
Lancashire Under the Hammer,,6417.jpg,"dust jacket of ""Lancashire Under the Hammer""",E.J. Pratt Library,Penguin Random House Archive and Library,"An account of the cotton industry in Lancashire, and in particular of the financial mismanagement and corruption that led to a boom of the industry during the war years and a sudden collapse directly after due to an outsourcing of production to other countries. The introduction and epilogue are autobiographical, describing the author's own experience as a Lancashireman living with the after-effects of these social and financial conditions.",B. Bowker,,,Autobiography,English,,1928
Arms or Arbitration?,,,,,,"Another of the Press's many pamphlets on the question of arbitration, this book joins the group of texts that Willis suggests were intended to educate the public and their representatives in Parliament about the possibilities for arbitration (223).",H. Wilson Harris,,,Politics,English,,1928
Roan Stallion Tamar and Other Poems,,6466.jpg,"Vanessa Bell, front cover of ""Roan Stallion Tamar and Other Poems""",E.J. Pratt Library,Henrietta Garnett,Hogarth Living Poets,Robinson Jeffers,,,Poetry,English,,1928
